trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",30,0,-59.60859734718126,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.990025}",25,0,-124.00634336823873,"{0: 12, 1: 4, 2: 6, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.985074875}",20,0,-115.95917996805642,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9801495006250001}",25,0,-78.7148194545593,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9752487531218751}",20,0,-75.36959814541994,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9703725093562657}",25,0,-42.26815310751363,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9655206468094844}",30,0,-223.1653643024881,"{0: 17, 1: 2, 2: 5, 3: 3, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.960693043575437}",25,0,-159.30381403951094,"{0: 12, 1: 1, 2: 9, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9558895783575597}",25,0,-171.68875261522297,"{0: 12, 1: 3, 2: 5, 3: 4, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9511101304657719}",20,0,-97.64498696966653,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.946354579813443}",20,0,-71.97553734858823,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9416228069143757}",25,0,-89.93498382756356,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9369146928798039}",30,0,-110.43657424967567,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9322301194154049}",20,0,-63.5322879512171,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9275689688183278}",20,0,-51.048192931273334,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9229311239742362}",25,0,-141.84902259517617,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.918316468354365}",30,0,-143.17463104791966,"{0: 11, 1: 9, 2: 9, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9137248860125932}",25,0,-116.57348442837306,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9091562615825302}",20,0,-91.91833665158089,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9046104802746175}",20,0,-68.73537490027837,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9000874278732445}",25,0,-74.82207665360406,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8955869907338783}",35,21,-48.41811289364877,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.8911090557802088}",30,0,-178.50362701433505,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.8866535105013078}",25,0,-132.78690035126832,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8822202429488013}",20,0,-92.73502678852613,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.8778091417340573}",25,0,-151.99357908119842,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.8734200960253871}",25,1,-96.50488456444457,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 3}",1
28,False,"{'a': 0.5, 'e': 0.8690529955452602}",20,5,-62.912422967586366,"{0: 8, 1: 1, 2: 5, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.8647077305675338}",25,0,-112.17799912236079,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.8603841919146962}",25,0,-136.74725663073048,"{0: 16, 1: 5, 2: 1, 3: 0, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.8560822709551227}",20,0,-84.61210131805869,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.851801859600347}",20,0,-90.21532946396549,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.8475428503023453}",20,0,-113.49907227099487,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.8433051360508336}",30,0,-56.89655017225622,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.8390886103705794}",30,0,-117.98511368035479,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.8348931673187264}",20,1,-32.11196288302637,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.8307187014821328}",25,0,-93.47085251616718,"{0: 15, 1: 0, 2: 9, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.8265651079747222}",20,0,-16.980359001767336,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.8224322824348486}",25,0,-28.74439347129873,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.8183201210226743}",25,0,-98.86502452893544,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
