trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-133.24670434483286,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-213.45183506719954,"{0: 15, 1: 6, 2: 4, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-141.00500708370862,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-70.37980028832087,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-87.63218771943363,"{0: 23, 1: 5, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,3,-46.24095130320261,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,21,-13.7283681000844,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-66.00101779004696,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-83.97377959245281,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,3,-40.435717738864255,"{0: 12, 1: 3, 2: 0, 3: 2, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-139.9752641727202,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-189.06290294751057,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-150.46241334640135,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-85.05389104037849,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,11,-34.739840391726304,"{0: 4, 1: 2, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-112.87048972560201,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-91.27418692752913,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,13,-23.152633701497226,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-167.1400753548983,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-87.78374943624843,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-135.73288521393062,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-161.81630761612692,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",30,0,-136.29666654382777,"{0: 14, 1: 5, 2: 10, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-138.2733754508326,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-119.41362675112349,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-64.27341381203883,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",35,0,-168.36264004823119,"{0: 22, 1: 2, 2: 4, 3: 7, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-77.86799745970777,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,0,-183.62570148167833,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",25,0,-210.92590192258825,"{0: 11, 1: 0, 2: 10, 3: 2, 4: 2}",0
